Zip Code,City,City-Zip,County
97738,Hines,Hines-97738,Harney
97004,Hogback,Hogback-97004,Clackamas
97231,Holbrook,Holbrook-97231,Multnomah
97080,Hollybrook,Hollybrook-97080,Multnomah
97212,Hollywood,Hollywood-97212,Multnomah
97213,Hollywood,Hollywood-97213,Multnomah
501,Holtsville,Holtsville-501,Suffolk
97201,Homestead,Homestead-97201,Multnomah
97031,Hood River,Hood River-97031,Hood River
97140,Hoodview,Hoodview-97140,Washington
97412,Horton,Horton-97412,Lane
97202,Hosford Abernethy,Hosford Abernethy-97202,Multnomah
97214,Hosford Abernethy,Hosford Abernethy-97214,Multnomah
97032,Hubbard,Hubbard-97032,Marion
97217,Humboldt,Humboldt-97217,Multnomah
97907,Huntington,Huntington-97907,Baker
97008,Hyland Hills,Hyland Hills-97008,Washington
97350,Idanha,Idanha-97350,Marion
97447,Idleyld Park,Idleyld Park-97447,Douglas
97841,Imbler,Imbler-97841,Union
97842,Imnaha,Imnaha-97842,Wallowa
97351,Independence,Independence-97351,Polk
97024,Interlachen,Interlachen-97024,Multnomah
97843,Ione,Ione-97843,Morrow
97908,Ironside,Ironside-97908,Malheur
97844,Irrigon,Irrigon-97844,Morrow
97212,Irvington,Irvington-97212,Multnomah
97850,Island City,Island City-97850,Union
97530,Jacksonville,Jacksonville-97530,Jackson
97007,Jacktown,Jacktown-97007,Washington
97909,Jamieson,Jamieson-97909,Malheur
97438,Jasper,Jasper-97438,Lane
97035,Jean,Jean-97035,Clackamas
97352,Jefferson,Jefferson-97352,Marion
97267,Jennings Lodge,Jennings Lodge-97267,Clackamas
97138,Jewell,Jewell-97138,Clatsop
97845,John Day,John Day-97845,Grant
97015,Johnson City,Johnson City-97015,Clackamas
97267,Johnson City,Johnson City-97267,Clackamas
97910,Jordan Valley,Jordan Valley-97910,Malheur
97846,Joseph,Joseph-97846,Wallowa
97448,Junction City,Junction City-97448,Lane
97911,Juntura,Juntura-97911,Malheur
97116,Kansas City,Kansas City-97116,Washington
97814,Keating,Keating-97814,Baker
97303,Keizer,Keizer-97303,Marion
97307,Keizer,Keizer-97307,Marion
97080,Kelly Creek,Kelly Creek-97080,Multnomah
97009,Kelso,Kelso-97009,Clackamas
